01/01/2022INDIA     AP VIJ 10000
01/01/2022INDIA     AP GNT 20000
01/01/2022INDIA     AP NLR 30000
01/01/2022INDIA     TS HYD 50000
01/01/2022INDIA     TS WRG 20000
01/01/2022INDIA     TS NLG 30000
01/01/2022USA       AZ CMB 10000
01/01/2022USA       AZ MBS 20000
01/01/2022USA       AZ NYK 30000
05/01/2022USA       MX CMB 10000
05/01/2022USA       MX MBS 20000
05/01/2022USA       MX NYK 30000
05/01/2022USA       AL CMB 10000
05/01/2022USA       AL MBS 20000
05/01/2022USA       AL NYK 30000
05/01/2022UK        LD MCS 10000
05/01/2022UK        LD RHM 20000
05/01/2022UK        LD ADL 30000
08/01/2022UK        MS MCS 10000
08/01/2022UK        MS RHM 20000
08/01/2022UK        MS ADL 30000     
08/01/2022UK        RH MCS 10000
08/01/2022UK        RH RHM 20000
08/01/2022UK        RH ADL 30000
